nombre,cliente,compilación,portage,ip_vpn,ip_publica,vrack,vpn_antigua,ip_lan
algieba,amizalsa,,,'172.31.16.31,'213.96.4.240,,'172.31.25.249;172.31.26.1,'192.168.3.2;192.168.2.1;192.168.1.50
cerler.aulavirtualmusica.com,aulavirtual,bk1,,'172.31.16.35,'51.68.25.52,,'172.31.25.125,
plutonio,bertolin,,,'172.31.16.36,'194.179.72.18,,'172.31.25.27,'10.96.6.62
cuarzo,bertolin,plutonio,,'172.31.16.47,'88.12.14.215,,,'10.96.6.103
renio,dkasesor,,,'172.31.16.19,'77.231.150.158,,'172.31.25.75,'192.168.1.254;192.168.0.254
krull.dkasesor.es,dkasesor,bk1,,'172.31.16.32,'91.134.193.152,'172.31.27.25,'172.31.25.101;172.31.26.1,
vanadio.euromeca.local,euromeca,potasio,,'172.31.16.55,'79.148.249.98,,'172.31.25.3,'192.168.5.1;192.168.0.247
hierro,euromeca,,,'172.31.16.56,,,'172.31.25.65;172.31.4.2,
potasio.euromeca.local,euromeca,,vanadio,'172.31.16.38,'79.148.249.98,,'172.31.25.73,'192.168.5.2;192.168.0.246
aneto.srvdr.com,euromeca,potasio,,'172.31.16.57,'79.148.249.98,,'172.31.4.1,'192.168.0.251
almacen.gransimenuts.org,gransimenuts,,,'172.31.16.34,'83.48.25.97,,'172.31.25.21,'192.168.0.250;192.168.0.100;192.168.0.254;192.168.0.51;192.168.1.250
kvm5.srvdr.com,inode64,bk1,,'172.31.16.1,'178.33.30.216,'172.31.27.5,'172.31.25.1,
bk1.srvdr.com,inode64,,,'172.31.16.21,'217.182.92.139,'172.31.27.102,'172.31.25.111,
kvm6.srvdr.com,inode64,bk1,,'172.31.16.20,'178.33.30.218,'172.31.27.107,'172.31.25.115,
kvm9.srvdr.com,inode64,bk1,,'172.31.16.7,'5.39.18.109,'172.31.27.110,'172.31.25.137,
kvm11.srvdr.com,inode64,bk1,,'172.31.16.8,'5.39.18.111,'172.31.27.111,'172.31.25.169,
kvm3.srvdr.com,inode64,bk1,,'172.31.16.5,'94.23.83.55,'172.31.27.105,'172.31.25.41,
radon.srvdr.com,inode64,bk1,,'172.31.16.17,'91.134.76.199,'172.31.27.100,'172.31.25.77,
kvm1.srvdr.com,inode64,bk1,,'172.31.16.4,'87.98.230.98,'172.31.27.103,'172.31.25.81,
kvm2.srvdr.com,inode64,bk1,,'172.31.16.30,'178.33.160.204,'172.31.27.104,'172.31.25.85,
sarin,inode64,,git,'172.31.16.54,'79.117.19.87,,'172.31.25.9,'192.168.2.254;192.168.5.254
kripton.srvdr.com,inode64,bk1,,'172.31.16.18,'91.134.76.168,'172.31.27.101,,
sarin2,inode64,,git,'172.31.16.59,'79.117.19.87,,,'192.168.2.253
eros,insca,,,'172.31.16.6,'90.69.98.198,,'172.31.25.13,'192.168.0.254;192.168.1.254;192.168.2.254
geminis,insca,,,'172.31.16.50,'90.69.98.198,,,'172.31.30.252
mercury.insca,insca,,,'172.31.16.51,'90.69.98.198,,,'172.31.30.251
isis,insca,,,'172.31.16.52,'90.69.98.198,,,'172.31.30.221
hafnio,insca,,,'172.31.16.53,'90.69.98.198,,,'172.31.30.237;192.168.2.237
atenea,insca,,,'172.31.16.65,'90.69.98.198,,,'172.31.30.228;192.168.2.228
topacio,maberauto,,,'172.31.16.37,'83.56.23.28,,'172.31.25.225,'10.96.47.87
opalo,maberauto,topacio,,'172.31.16.3,'83.56.23.28,,,'10.96.47.119
pirita,maberauto,topacio,,'172.31.16.61,'81.42.198.210,,,'10.96.47.120
platino,optiza,,,'172.31.16.9,'62.43.114.93,,'172.31.25.157,'192.168.12.1;192.168.1.198
centauri,promopublic,,,'172.31.16.12,'213.96.83.50,,'172.31.25.109,'192.168.10.254;192.168.0.254;192.168.5.254;172.31.30.254;192.168.6.254;192.168.7.254
iridio.promopublic.es,promopublic,,,'172.31.16.15,'57.128.93.25,'172.31.27.3,'172.31.25.37,
leonis.colortile.local,promopublic,,,'172.31.16.58,'83.48.10.177,,'172.31.25.69,'192.168.1.90;192.168.12.254;192.168.13.254
kvm1.promopublic.es,promopublic,iridio,,'172.31.16.13,'164.132.62.224,,'172.31.25.83,
kvm2.promopublic.es,promopublic,iridio,,'172.31.16.39,'164.132.62.225,,'172.31.25.87,
kvm3.promopublic.es,promopublic,iridio,,'172.31.16.40,'164.132.62.226,,'172.31.25.91,
kvm4.promopublic.es,promopublic,iridio,,'172.31.16.41,'164.132.62.227,,'172.31.25.95,
genesys2,promopublic,,,'172.31.16.43,'213.96.83.50,,,'192.168.10.231;192.168.0.231
Server-rip / varta,promopublic,,,'172.31.16.44,'213.96.83.50,,,'192.168.0.238
gema,promopublic,,,'172.31.16.45,'213.96.83.50,,,'192.168.0.245
polaroid.promopublicgroup.local,promopublic,,,'172.31.16.46,'213.96.83.50,,,'192.168.0.253
cubico,realexport,,,'172.31.16.60,,,'172.31.25.221,'192.168.1.240
fw1,sichet,,,'172.31.16.33,'79.116.0.183,,'172.31.25.33,'192.168.5.2;192.168.1.254;192.168.3.254
domoti,sillero,,,'172.31.16.250,'79.117.226.138,,,'192.168.1.1
sirio,stpwf,,,'172.31.16.42,'185.160.231.187,,'172.31.25.17,'172.31.20.253;192.168.100.211;172.31.21.253
eros2,stpwf,,sirio,'172.31.16.11,'185.160.231.187,,,'192.168.101.210;192.168.100.213;192.168.100.214;192.168.100.215;192.168.100.218;192.168.100.216;192.168.6.1;172.31.20.254;172.31.21.254
zeus,stpwf,,sirio,'172.31.16.48,'185.160.231.187,,,'192.168.101.201
apolo,stpwf,,sirio,'172.31.16.49,'185.160.231.187,,,'192.168.101.203
